ID,Character
127235,001
126974,001 | princess of klaxosaurs
71544,2b
8665,2k-tan
10900,98-tan
99469,9a-91
78281,9s
145951,a
85977,a2
109579,aa-12
142309,aa2153
377,aaeru
142239,aardwolf
138786,aaron
152779,aashi kedarui
103382,aaya saitou
34839,abara hanbee
106676,abby
73809,abel
131840,abercrombie
147190,abe shinzo
91389,abigail
80930,abigail williams
4769,abiru kobushi
30878,absalom
143495,absinthe
111325,absol
34811,abukuma
153741,abuto usui
21440,accelerator
50420,ace
83479,acerola
149584,ace taffy
128666,ace trappola
145204,a-chan
152224,acheron
11437,achika masaki
116973,achikita chinami
96059,achilles
11950,acolyte
102767,aconite
104193,aconite | monkshood
153235,adam
145571,adaman
143866,adam smasher
15118,ada wong
76912,adelaide grand marnier
114653,adelbert steiner
9532,adele balfette
124617,adeleine
115996,adele von ascham
152862,adelheid kanzaki
12784,adelicia lenn mathers
1829,adell
75047,adeltrud olter
37449,adette kistler
105188,adeu waltham
8958,adiane
60162,adlet mayer
97338,admiral graf spee
93382,admiral hipper
143790,admire vega
60627,adol christin
35979,adolf hitler
8551,adolf retia
32010,adon
70332,adonis otogari
37106,a-drei
23591,adrian andrews
148742,ads
112541,aduchi momo
91980,ae3803
144398,aegir
101789,aek-999
152815,aeris
31837,aerith gainsborough
151756,aesc the savior
124902,aesop carl
126586,aether
146340,aether foundation employee
23993,afura mann
3440,agano
69816,agari kamiya
12382,agate fluorite
128907,agave
128050,agedama genji
29329,ageha kuki
128609,agent
142400,agielba
25009,agiri goshiki
20571,agito
72833,aglovale
138194,agnes
12305,agnes chevalier de milan
151007,agnes claudel
139849,agnes digital
2830,agnese sanctis
16638,agnes joubert
22841,agnes oblige
139982,agnes tachyon
7151,agon kongo
26595,agrias oaks
143702,aguilera
12167,agumon
12146,aguri madoka
143296,agustin madrigal
147428,ahan dan
4344,ahmey
29953,ahri
28881,ai
16122,ai amami
986,ai amano
10629,ai amatsu
926,ai asato
20567,ai astin
134283,aiba shuu
147391,aiba uiha
59117,ai-chan
8239,aichi sendou
120166,aida surugan
142995,aiden flynn
73744,ai ebihara
27333,ai enma
23286,ai fuyuumi
71110,aigami
579,aigis
5595,aigle
18829,ai haibara
70223,ai haibara | shiho miyano
33089,ai hasebe
23671,ai hayakawa
104205,ai hayasaka
74,ai hidaka
81013,ai hinatsuru
146725,ai hoshino
11866,aiho yomikawa
15124,aiichirou nitori
24994,aika
95473,aika aikawa
25576,ai kaga
2292,ai kagano
105388,aika hanazoe
16719,aika kasumi
3816,ai kaminari
86636,aika nakamura
20638,aika s. granzchesta
6139,aika sumeragi
55124,aika tenkuubashi
8571,ai kisugi
21517,aiko
14244,aiko iwase
37407,aiko mary harmony
52358,aiko nonohara
27236,aiko senoo
21543,aiko takamori
143003,ai kozeri
63627,ai kunogi
30621,aikuro mikisugi
123539,aila
24066,aila jyrkiainen
85685,aile
141333,aileen olazabal
66490,ailyth
152976,ai madobe
150852,ai mie
33462,ai mikaze
21582,aimi komori
120546,ai miyashita
96532,ai mizuno
148934,aimu
68798,ain
110772,aina ardebit
24112,ai nanasaki
36274,ai naoe
29934,aina sahalin
105609,aine yuuki
153153,ainosuke shindo
34951,ainz ooal gown
54862,aiolia leo
55091,aion
66214,aira
110221,aira harune
143583,airani iofifteen
150468,aira shiratori
19120,aircraft carrier oni
3138,airfield hime
142679,air groove
10526,airi
83693,airi akitsuki
143167,airi akizuki
33341,airi ban
133170,airi gotou
12244,airi kashii
151485,airi kurimura
1171,airi masaki
150853,airi momoi
25894,ai rin
13754,airi ogata
86201,airi sakura
72900,airi sena
7765,airi totoki
152202,airmid teasanare
23633,airu suzaki
58305,airy ardit
146030,aisa
15173,aisa himegami
22977,aisha
150423,aisha belka
7308,aisha clanclan
141945,aisha greyrat
14941,ai shinozaki
26435,aisia
78858,ai sugimoto
25977,aisu kyuubu
29495,ai tanabe
79609,ai togo
81014,ai yashajin
147380,aizawa ema
15448,aizen kunitoshi
134775,aizetsu
126038,aizono manami
14699,aiz wallenstein
81131,ajax
37616,ajimi kiki
151197,ajisai sena
107476,ak-12
130556,ak-15
142787,akabane youko
27492,akagi
123929,akai haato
137562,akai haato | haachama
132016,ak-alfa
30538,akali
121173,akame
25755,akane
9757,akane aikawa
5474,akane akaza
19355,akane ardygun
28405,akane fujita
59343,akane hanasaki
22190,akane higurashi
12238,akane hino
21958,akane inuwaka
6501,akane isshiki
28014,akane kasuga
142559,akane kimidori
50395,akane kinesaki
120230,akane kotomura
78088,akane kotonoha
127145,akane kowata
148067,akane kurokawa
27653,akane mishima
137214,akane murokasa
146965,akane nishimura
76656,akane nonohara
128988,akane okada
6886,akane owari
10519,akane ryuuzouji
54226,akane sakurada
32008,akane sakurai
21426,akane sano
28789,akane satomura
147170,akane sawatari
74435,akane segawa
28740,akane senri
23215,akane serizawa
96253,akane shinjou
18566,akane soir
26997,akane suzumiya
31827,akane tendo
1355,akane tsunemori
31436,akaooni
139806,akari
4721,akari acura
24026,akari akaza
97760,akari amano
15433,akari fujisaki
153925,akari hinomoto
130941,akari hoshi
130822,akari hoshi | ixquic
50026,akari ichijou
12289,akari kamigishi
4235,akari kanzaki
69889,akari kawamoto
121178,akari kazemiya
30958,akari kirishima
88595,akari kizuna
4659,akari mizunashi
51590,akari oozora
26135,akari sakura
143430,akari sonozaki
119833,akari tsujino
128782,akari tsukumo
51580,akari usada
148159,akari wanibuchi
27903,akashi
123426,akashi kuniyuki
5925,akatsuki
15715,akatsuki izumo
133798,akatsuki uni
92498,akatsuki yuni
149586,akaya kirihara
141496,akaza
84777,akazukin
51929,akebi sasaki
31163,akebono
143622,akemi miyano
52602,akemi roppongi
111761,akemi soryuin
21409,akeno himejima
38255,akeno misaki
32022,akeno shiranui
150946,a.k.i.
54048,aki
34102,akigumo
29722,akiha
13573,akiha ikebukuro
33139,akiha shishidou
25756,akiha tohno
143444,aki hayakawa
34708,akihiko arai
72081,akihiko beppu
153329,akihiko kannazuki
21144,akihiko sanada
70345,akihiko tojo
16595,aki hinata
51370,akihiro altland
24658,akihisa yoshii
30571,akihito kanbara
128093,akiho rindou
16886,akiho senomiya
151349,akiho shinomoto
13295,aki izayoi
75816,aki kikuchihara
51422,aki kino
11065,akiko himenokouji
88429,akiko houjoh
20441,akiko kamimura
32187,akiko minase
57036,akiko ogasawara
86778,aki mikage
65705,aki minami
25623,aki muroto
13873,aki nijou
34526,akinori konoha
132335,akino toudou
11107,akio fudou
70539,akiomi kunugi
78914,akio ohtori
32997,akira
33797,akira agarkar yamada
152314,akira amami
130331,akira amatsume
73210,akira asagi
1178,akira e. ferrari
26328,akira endou
108086,akira fudo
112728,akira hayama
25815,akira hayasaka
34692,akira hidaka
51982,akira hiiragi
53497,akira himi
1742,akira honjouji
128833,akira hoshi
78204,akira ijyuin
52429,akira ikaruga
123894,akira kagetsuki
64828,akira kawazue
2269,akira kayama
2878,akira kazama
78667,akira kenjou
148875,akira kiyosumi
23808,akira kogami
38170,akira kunimi
71671,akira kurusu
5929,akira midousuji
122520,akira miura
122437,akira miura | leslie
24073,akira okouchi
6108,akira okuzaki
102118,akira oono
128626,akira otoishi
12331,akira seo
125704,akira shinobu
102337,akira sunazuka
80979,akira tachibana
16043,akira takano
121542,akira takaoka
54704,akira tomita
18679,akira toya
26586,akira tsubaki
19938,akira yamamoto
7835,akira yoshii
57891,akira yuki
148751,akira zaizen
123930,aki rosenthal
128766,akisa higashiyama
92506,aki shiina
117221,akishimo
91708,aki suzuya
93815,akita oga
124127,akitaru oubi
69142,akita toushirou
53248,akiteru tsukishima
73961,akito hayama
53734,akito himenokouji
146617,akito shinonome
82749,akitoshi okajima
19430,akito takagi
52129,akito tenkawa
7932,akitsu maru
1467,akitsushima
67655,akiyama shinichi
29349,aki yamato
26980,akizuki
6722,akko kagari
141771,ako amau
11456,ako atarashi
6009,ako izumi
18156,akon
49718,ako oozora
128341,ako saotome
21036,ako shirabe
14644,ako suminoe
38207,ako tamaki
52874,ako tsuchiya
112895,ako udagawa
78325,akuji nishimura
7858,akuma
147735,akuma shuudoushi
150570,akuma shuudoushi | demon cleric
136344,akumi
14727,akutabe
70036,akuto ikurumi
31582,aladdin
140705,alan
67767,alas equals ramus
152470,alastor
50178,alaude
4663,al azif
8437,alba
96876,albacore
16964,albedo
75969,albert
60350,albert de morcerf
37679,albert heinrich
19947,albert wesker
89094,albireo
9026,alchemist
131670,alcina dimitrescu
119076,alcyone
153545,alderp barnes alexei
74689,aldora
25592,aldra
146897,alear
74249,aleksandra i. pokryshkin
10493,alena
364,alessandra susu
81067,aletta
124131,alex
94552,alexa
77763,alexander
55614,alexander anderson
52680,alexander yamato
152051,alexandra casoy
74221,alexandre dumas
145893,alexia midgar
17559,alexis rhodes
122560,alexis rhodes | asuka tenjouin
121386,alexstrasza
120968,alfin
139138,alfin reise arnor
101774,alfonse
51963,alfons heiderich
70304,alfredo martini
126438,alfyn greengrass
144508,alhaitham
123338,alia
129641,ali al-saachez
26277,alibaba saluja
21535,alice
137025,alice asmodeus
15443,alice beckham
17030,alice blanche
15577,alice carroll
32231,alice cartelet
29011,alice elliot
21137,alice faye
73443,alice garnet nakata
17117,alice kiriki
132258,alice kisaragi
26363,alice kuonji
144697,alice lendrott
13887,alice liddell
25112,alice l. malvin
139202,alice mana
10802,alice margatroid
135828,alice mccoy
34026,alice nakiri
14865,alice shiratori
138555,alice tendou
19294,alice wishheart
139579,alice yabusame
22842,alice yotsuba
72953,alice zuberg
50691,alicia
144557,alicia charlotte
103772,alicia crystella
145260,alicia edelsia
22901,alicia florence
6047,alicia melchiott
15289,alicia rue
75006,alicia testarossa
141250,alicia viewstream
71923,alielle
13539,alielle relryle
153825,alina
124291,alina gray
122095,alisa
7091,alisa bannings
37032,alisa bosconovitch
53975,alisa haiba
143979,alisaie leveilleur
26692,alisa ilinichina amiella
153593,alisa mikhailovna kujou
4052,alisa reinford
151173,alise lovell
35978,alisha diphda
91388,alistar
55093,alito
52114,aliza
27750,allelujah haptism
7429,allenby beardsley
108676,allen kozuki
73962,allen schezar
152297,allen the alien
20037,allen walker
14661,alleyne
52897,allison whittington
115703,allister
34947,all might
23392,alluka zoldyck
106794,allura
145336,alm
136812,alma armas
28233,almana tiqvah
79076,alma nemurihime
69761,almeida
80827,almiria bauduin
22913,aloe
6759,alois trancy
29264,alouette
72842,alpaca suri
145851,alpha
8032,alpha hatsuseno
108128,alpha omega nova
59614,alphard alshua
1770,alphonse elric
78942,alphys
152502,alspia
144244,altair ibn-laahad
79380,altera
79343,altera | attila the hun
73818,altessa
20923,altina mel sylphis
86827,altina orion
13958,altlene viola
13390,alto krauetta
5753,alto saotome
21724,alucard
136519,alumi niumbirch
16039,alv
3016,alvida
32515,alvin
59086,alvis e. hamilton
36559,amagi
81753,amagiri
2852,amagiri yune
12394,amaimon
134993,amamiya kokoro
99201,amana osaki
9508,amane
124144,amane kanata
33038,amane kaunaq
120232,amane kotomura
107654,amane kuzuryu
13522,amane suou
112765,amano hina
123406,amaretto
13386,amata sora
82772,amaterasu
11744,amatsukaze
125344,amatsuyu kisaragi
469,amazon
77873,amber
77825,amber | february
2362,amber hearts
132798,ambriel
116804,am chouno
151509,ame-chan
150682,amehiko kuzunoha
136162,ameli
22441,amelia
7232,amelia wil tesla seyruun
142528,amemiya nazuna
134996,amemori sayo
9723,ame ochibana
143288,ameri azazel
4615,america
74628,american beaver
88089,america | united states
142039,ameth
153976,amethio
135873,ami aiba
70417,ami chouno
55481,amida arca
10268,ami futami
13831,ami kawamura
26503,ami kawashima
15755,ami kuroki
126492,ami matsuzaki
7311,ami mizuno
2040,ami nonomura
133756,ami onuki
30097,amira hergal
131031,amitie
68734,amitie florian
119383,amiya
66880,amriel
74622,amu fanneria
7565,amu hinamori
148997,amuro ninagawa
10590,amuro ray
24016,amy
11470,amy limietta
28036,amy rose
63119,amy sorel
117418,an-94
73154,ana
73647,anabel
2888,ana coppola
50153,anakin skywalker
10822,ana medaiyu
30165,anastasia
142402,anastasia hoshin
7743,anastasia nasuhara
87507,anastasia nikolaevna romanova
68124,anastasia rune valeria
153472,anby demara
147099,anchorage
51920,andira
86948,andou
146197,andras
153341,andreana
98034,andrew gilbert mills
150219,andrew graves
129057,andrew hanbridge
129483,andrew kreiss
135703,andrew waltfeld
68638,andro
87505,android 16
100232,android 17
23216,android 18
87296,android 21
152019,andromeda
142240,andro m. jazz
151957,andy
33008,andy bogard
23566,andy hinomiya
30847,andy w. hole
68769,anelace elfead
13470,anemone
24675,anesthesia
106620,ange katrina
16647,angel
10150,angela
18646,angela balzac
14151,angela burton
134888,angel cookie
12847,angel daisy
150595,angel daisy | hinagiku tamano
124855,angel devil
130088,angel dust
1080,angelene
58981,angeletta
12778,angelia avallone
7777,angelica
133969,angelic montmorancy
125199,angelina ajimu
127550,angelina kudou shields
33553,angelise ikaruga misurugi
29175,angel lily
150596,angel lily | yuri tanima
58670,angelo
53459,angelo lagusa
121176,angel salvia | scarlet ohara
21565,angemon
16162,ange ushiromiya
30359,angewomon
84106,angie
124941,angie islington
125802,angie yonaga
20625,angol moa
150372,ango sakaguchi
21456,anice farm
35434,anira
144341,anis
12028,anise tatlin
144896,anisphia wynn palettia
19437,anita king
37781,anivia
77250,anju
29734,anju maaka
16622,anju yuuki
22664,anko kitashirakawa
5768,anko mitarashi
78306,anko tsubuzaki
146829,ann
13665,anna
128812,anna akagi
23357,anna heart
142055,anna hiiragi
5388,anna kouzuki
6007,anna kurauchi
30966,anna kyouyama
31418,anna liebert
32972,anna mochizuki
36775,anna nishikinomiya
30614,annapuma
28338,anna respighi
103996,anna suehiro
17704,anna williams
127846,anna yamada
153779,anna yanami
25006,anne
75865,anne bonny
72147,anne hanakoizumi
18051,annelotte
140816,anne rapan
147341,annerose vajra
11108,anne shirley
52097,anne takamaki
142503,annet myer
150305,annette
22082,annette koenig
95903,ann fukuhara
3809,annie
98691,annie harding
19696,annie hastur
11776,annie hughes
23676,annie leonhart
89938,announcer yadama
152120,anon chihaya
127334,anonym merrel lambuth
110985,anosillus the 2nd
124746,anos voldigoad
53932,anri misugi
11189,anri sonohara
123102,ansel
147145,an shiraishi
130973,antarcticite
71580,anthuria
22746,anthy himemiya
121824,anti
134059,ant-man
96767,antonio fabiani
6443,antonio lopez
125522,antonio luini
92592,antonio salieri
132122,anubis
125958,anya
17309,anya alstreim
8217,anya cocolova
141457,anya forger
9465,anya hepburn
151302,anya melfissa
121917,anzu
21498,anzu futaba
25870,anzu kadotani
16133,anzu yukimura
36748,aoba
12965,aoba kuronuma
27176,aoba seragaki
36308,aoba suzukaze
24840,aoba watase
8327,ao fukai
85906,ao gennai
20621,aoi
14982,aoi asahina
12928,aoi futaba
126250,aoi hidaka
56319,aoi himezaki
127544,aoi hinami
115099,aoi hinomoto
14793,aoi housen
84603,aoi inuyama
10289,aoi kannazuki
117272,aoi kanzaki
13075,aoi kiriya
78089,aoi kotonoha
2185,aoi kunieda
9136,aoi matsubara
128192,aoi mitsukuni
23247,aoi miyamori
18635,aoi mutou
22028,aoi nogami
147643,aoi oki
2733,aoi sakuraba
5598,aoi sakurai
131919,aoi shuto
73394,aoi tategami
126112,aoi tosaka
64678,aoi umenokoji
9397,aoi uzumiya
23694,aoi yamada
846,aoi yukimura
6385,aoi yume
75041,aoi zaizen
142138,ao kasane
144088,aoki aka
5006,aoko aozaki
101995,aoko nakamori
32284,aomi yanagisako
24746,aoshi shinomori
146059,ao sorakado
29644,aoto gonzales takuma
25036,aphelandra
1830,aphrodite
54085,aphrodite pisces
32562,apollo justice
53602,apollonia
142950,aponia
118142,apple
10957,applejack
50893,appli
146242,apprentice illusion magician
75882,april
50484,april oneil
10672,aqua
3914,aqua centolm
11188,aquael
147346,aqua hoshino
146996,aquamarine
142746,aquarius camus
69897,aquila
7453,aquila yuna
118398,ara
115358,arado balanga
2472,aragorn
81832,ara haan
52629,arakune
27251,arale norimaki
72987,aranea highwind
14507,arare
70792,arash
51514,arashi
21016,arashiko yuno
54106,arashi narukami
20660,arashi nikaidou
41713,arashio
21454,arashi shinozuka
51886,arataka reigen
32154,arata sagimori
52433,arata sena
71085,arawn
126077,arbok
76205,arcanine
145411,arceus
16738,archangel
60314,archangel gabriel
18036,archbishop
36053,arche eeb rile furt
23810,arche klein
27532,archer
141577,archie
79014,architect
27443,arcueid brunestud
140277,arene
133193,ares
140322,arezu
130725,argo gulskii
32267,aria
2170,aria advance
141631,ariadne
3604,aria holmes kanzaki
126833,ariake
141394,ariane glenys maple
101874,arianna caledonia
23524,aria shichijou
21882,arias honoo
12477,aria von reiji asuna
10224,ariel
150947,ariel anemoi asura
26356,aries
149563,aries spring
126551,arietta the wild
10125,arika amazake
